,carparkID,slotOccupancy,dayOfWeek,year,month,timeOfDay
0,1,109,1,2020,3,700
1,1,100,1,2020,3,701
2,1,104,1,2020,3,702
3,1,108,1,2020,3,703
4,1,105,1,2020,3,704
5,1,99,1,2020,3,705
6,1,96,1,2020,3,706
7,1,102,1,2020,3,707
8,1,121,1,2020,3,708
9,1,99,1,2020,3,709
10,1,109,1,2020,3,710
11,1,93,1,2020,3,711
12,1,113,1,2020,3,712
13,1,106,1,2020,3,713
14,1,112,1,2020,3,714
15,1,101,1,2020,3,715
16,1,108,1,2020,3,716
17,1,110,1,2020,3,717
18,1,108,1,2020,3,718
19,1,104,1,2020,3,719
20,1,111,1,2020,3,720
21,1,108,1,2020,3,721
22,1,96,1,2020,3,722
23,1,116,1,2020,3,723
24,1,105,1,2020,3,724
25,1,111,1,2020,3,725
26,1,106,1,2020,3,726
27,1,103,1,2020,3,727
28,1,96,1,2020,3,728
29,1,90,1,2020,3,729
30,1,92,1,2020,3,730
31,1,101,1,2020,3,731
32,1,109,1,2020,3,732
33,1,110,1,2020,3,733
34,1,112,1,2020,3,734
35,1,105,1,2020,3,735
36,1,100,1,2020,3,736
37,1,109,1,2020,3,737
38,1,98,1,2020,3,738
39,1,106,1,2020,3,739
40,1,99,1,2020,3,740
41,1,98,1,2020,3,741
42,1,104,1,2020,3,742
43,1,109,1,2020,3,743
44,1,114,1,2020,3,744
45,1,111,1,2020,3,745
46,1,106,1,2020,3,746
47,1,103,1,2020,3,747
48,1,99,1,2020,3,748
49,1,94,1,2020,3,749
50,1,96,1,2020,3,750
51,1,116,1,2020,3,751
52,1,107,1,2020,3,752
53,1,112,1,2020,3,753
54,1,92,1,2020,3,754
55,1,109,1,2020,3,755
56,1,116,1,2020,3,756
57,1,98,1,2020,3,757
58,1,98,1,2020,3,758
59,1,102,1,2020,3,759
60,1,111,1,2020,3,800
61,1,115,1,2020,3,801
62,1,109,1,2020,3,802
63,1,94,1,2020,3,803
64,1,108,1,2020,3,804
65,1,114,1,2020,3,805
66,1,103,1,2020,3,806
67,1,106,1,2020,3,807
68,1,106,1,2020,3,808
69,1,108,1,2020,3,809
70,1,96,1,2020,3,810
71,1,101,1,2020,3,811
72,1,109,1,2020,3,812
73,1,107,1,2020,3,813
74,1,99,1,2020,3,814
75,1,102,1,2020,3,815
76,1,110,1,2020,3,816
77,1,92,1,2020,3,817
78,1,96,1,2020,3,818
79,1,111,1,2020,3,819
80,1,104,1,2020,3,820
81,1,100,1,2020,3,821
82,1,108,1,2020,3,822
83,1,112,1,2020,3,823
84,1,109,1,2020,3,824
85,1,104,1,2020,3,825
86,1,115,1,2020,3,826
87,1,102,1,2020,3,827
88,1,104,1,2020,3,828
89,1,114,1,2020,3,829
90,1,107,1,2020,3,830
91,1,110,1,2020,3,831
92,1,104,1,2020,3,832
93,1,110,1,2020,3,833
94,1,121,1,2020,3,834
95,1,108,1,2020,3,835
96,1,100,1,2020,3,836
97,1,99,1,2020,3,837
98,1,110,1,2020,3,838
99,1,96,1,2020,3,839
100,1,87,1,2020,3,840
101,1,99,1,2020,3,841
102,1,99,1,2020,3,842
103,1,101,1,2020,3,843
104,1,106,1,2020,3,844
105,1,106,1,2020,3,845
106,1,99,1,2020,3,846
107,1,107,1,2020,3,847
108,1,92,1,2020,3,848
109,1,92,1,2020,3,849
110,1,96,1,2020,3,850
111,1,100,1,2020,3,851
112,1,110,1,2020,3,852
113,1,104,1,2020,3,853
114,1,103,1,2020,3,854
115,1,120,1,2020,3,855
116,1,108,1,2020,3,856
117,1,98,1,2020,3,857
118,1,93,1,2020,3,858
119,1,109,1,2020,3,859
120,1,107,1,2020,3,900
121,1,99,1,2020,3,901
122,1,114,1,2020,3,902
123,1,100,1,2020,3,903
124,1,115,1,2020,3,904
125,1,111,1,2020,3,905
126,1,106,1,2020,3,906
127,1,116,1,2020,3,907
128,1,108,1,2020,3,908
129,1,100,1,2020,3,909
130,1,116,1,2020,3,910
131,1,100,1,2020,3,911
132,1,105,1,2020,3,912
133,1,114,1,2020,3,913
134,1,107,1,2020,3,914
135,1,99,1,2020,3,915
136,1,99,1,2020,3,916
137,1,110,1,2020,3,917
138,1,102,1,2020,3,918
139,1,106,1,2020,3,919
140,1,112,1,2020,3,920
141,1,107,1,2020,3,921
142,1,103,1,2020,3,922
143,1,106,1,2020,3,923
144,1,88,1,2020,3,924
145,1,102,1,2020,3,925
146,1,108,1,2020,3,926
147,1,99,1,2020,3,927
148,1,115,1,2020,3,928
149,1,106,1,2020,3,929
150,1,105,1,2020,3,930
151,1,93,1,2020,3,931
152,1,105,1,2020,3,932
153,1,110,1,2020,3,933
154,1,92,1,2020,3,934
155,1,108,1,2020,3,935
156,1,100,1,2020,3,936
157,1,102,1,2020,3,937
158,1,99,1,2020,3,938
159,1,96,1,2020,3,939
160,1,110,1,2020,3,940
161,1,104,1,2020,3,941
162,1,111,1,2020,3,942
163,1,119,1,2020,3,943
164,1,104,1,2020,3,944
165,1,97,1,2020,3,945
166,1,95,1,2020,3,946
167,1,107,1,2020,3,947
168,1,108,1,2020,3,948
169,1,92,1,2020,3,949
170,1,101,1,2020,3,950
171,1,105,1,2020,3,951
172,1,112,1,2020,3,952
173,1,110,1,2020,3,953
174,1,98,1,2020,3,954
175,1,88,1,2020,3,955
176,1,100,1,2020,3,956
177,1,100,1,2020,3,957
178,1,105,1,2020,3,958
179,1,104,1,2020,3,959
180,1,110,1,2020,3,1000
181,1,102,1,2020,3,1001
182,1,100,1,2020,3,1002
183,1,107,1,2020,3,1003
184,1,111,1,2020,3,1004
185,1,97,1,2020,3,1005
186,1,93,1,2020,3,1006
187,1,108,1,2020,3,1007
188,1,119,1,2020,3,1008
189,1,105,1,2020,3,1009
190,1,98,1,2020,3,1010
191,1,98,1,2020,3,1011
192,1,100,1,2020,3,1012
193,1,100,1,2020,3,1013
194,1,107,1,2020,3,1014
195,1,106,1,2020,3,1015
196,1,107,1,2020,3,1016
197,1,94,1,2020,3,1017
198,1,101,1,2020,3,1018
199,1,107,1,2020,3,1019
200,1,107,1,2020,3,1020
201,1,107,1,2020,3,1021
202,1,104,1,2020,3,1022
203,1,114,1,2020,3,1023
204,1,112,1,2020,3,1024
205,1,116,1,2020,3,1025
